,Title,Artist,Date,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,billboard_hot_100,Popularity,Release_Year
0,All I Want For Christmas Is You, Mariah Carey,01-01-2022,4I5Hn34v6foGP3ta9Xx0rN,0.695,0.652,11,-7.828,0,0.0751,0.000441,5.66E-06,0.0667,0.744,128.024,401680,4,FALSE,1,43,2019
1,Rockin' Around The Christmas Tree, Brenda Lee,01-01-2022,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,126267,4,FALSE,1,94,1964
2,Jingle Bell Rock, Bobby Helms,01-01-2022,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,130973,4,FALSE,1,93,1957
3,A Holly Jolly Christmas, Burl Ives,01-01-2022,77khP2fIVhSW23NwxrRluh,0.683,0.375,0,-13.056,1,0.0303,0.579,0,0.076,0.888,140.467,135533,4,FALSE,1,86,1965
4,Easy On Me, Adele,01-01-2022,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,224695,4,FALSE,1,98,2021
5,It's The Most Wonderful Time Of The Year, Andy Williams,01-01-2022,5hslUAKq9I9CG2bAulFkHN,0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,151933,3,FALSE,1,92,1963
6,Last Christmas, Wham!,01-01-2022,2FRnf9qhLbvw8fu4IBXx78,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,262960,4,FALSE,1,93,1984
7,Feliz Navidad, Jose Feliciano,01-01-2022,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,2,-9.004,1,0.0383,0.55,0,0.336,0.963,148.837,182067,4,FALSE,1,84,2002
8,Stay, The Kid LAROI & Justin Bieber,01-01-2022,567e29TDzLwZwfDuEpGTwo,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,4,TRUE,1,61,2021
9,Sleigh Ride, The Ronettes,01-01-2022,5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21E-06,0.316,0.853,91.751,181267,4,FALSE,1,89,1963
10,The Christmas Song (Merry Christmas To You), Nat King Cole,01-01-2022,4PS1e8f2LvuTFgUs1Cn3ON,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06E-05,0.138,0.209,78.696,192160,4,FALSE,1,88,1962
11,"Let It Snow, Let It Snow, Let It Snow", Dean Martin,01-01-2022,2uFaJJtFpPDc5Pa95XzTvg,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45E-06,0.175,0.701,134.009,117147,4,FALSE,1,90,1959
12,Underneath The Tree, Kelly Clarkson,01-01-2022,3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99E-05,0.214,0.689,159.878,229640,4,FALSE,1,81,2013
13,Broadway Girls, Lil Durk Featuring Morgan Wallen,01-01-2022,3DZ8dbKg4OTSSqGARvecYd,0.659,0.745,10,-3.599,1,0.0347,0.0417,0,0.296,0.54,74.967,185600,4,FALSE,1,85,2021
14,Heat Waves, Glass Animals,01-01-2022,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,238805,4,FALSE,1,90,2020
