,Title,Artist,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,Popularity,Release_Year,billboard_hot_100
0,in the end,linkin park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.8640000000000001,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,4.0,0.0,85.0,2000.0,0
1,seven nation army,the white stripes,7i6r9KotUPQg3ozKKgEPIN,0.737,0.463,0.0,-7.8279999999999985,1.0,0.0799,0.00817,0.447,0.255,0.324,123.881,231733.0,4.0,1.0,6.0,2003.0,0
2,by the way,red hot chili peppers,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9.0,-3.442,1.0,0.0456,0.0179,0.0,0.16699999999999998,0.875,91.455,269000.0,4.0,1.0,82.0,2002.0,0
3,bring me to life,evanescence,0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4.0,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.29600000000000004,94.612,235893.0,4.0,0.0,82.0,2003.0,0
4,last resort,papa roach,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,4.0,-3.719,0.0,0.0603,0.000481,0.00082,0.201,0.6920000000000001,90.598,199907.0,4.0,1.0,83.0,2001.0,0
5,sex on fire,kings of leon,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9.0,-5.653,1.0,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0,4.0,1.0,83.0,2008.0,0
6,smooth criminal,alien ant farm,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9.0,-4.261,0.0,0.0582,0.00316,0.00512,0.14400000000000002,0.87,126.928,209267.0,4.0,0.0,78.0,2001.0,0
8,chop suey!,system of a down,2DlHlPMa4M17kufBvI2lEN,0.419,0.934,7.0,-3.908,0.0,0.119,0.000278,0.0015,0.132,0.28600000000000003,127.288,210240.0,4.0,0.0,82.0,2001.0,0
9,take me out,franz ferdinand,6ooluO7DiEhI1zmK94nRCM,0.278,0.6759999999999999,9.0,-8.821,1.0,0.0371,0.000423,0.0008990000000000002,0.136,0.494,104.545,237027.0,4.0,0.0,5.0,2004.0,0
10,i miss you,blink-182,1oTo3ijRbaDAtrjJrGAPSw,0.664,0.7809999999999999,11.0,-6.5470000000000015,1.0,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240.0,4.0,0.0,72.0,2003.0,0
11,the kill (bury me),thirty seconds to mars,232FvPwx9QqPtvob5aSDKv,0.303,0.926,4.0,-3.945,0.0,0.0695,0.00115,0.00235,0.275,0.272,182.915,233427.0,3.0,0.0,0.0,2007.0,0
